Level,Action,Vendor Tracking #,Rebate Name,Rebate Number,Rebate Type,Header - Branch,Header - Performance,Header - Currency,Header - Vendor Name,Header - Billing Vendor Name,Header-Customer,Header - Manufacturer Number,Header - Start Date,Header - End Date,Header - Program Name,Header - Order Start Date,Header - Order End Date,Header - Broker Name,Header - Category Manager,Header - Comments,Product - Type,Product - Number,Product - Description,Product - Percent,Product - Per CS,Product - Per Pound,Product - Per Lbs,Product - Net Cost,Product - Invoice Price,Lumpsum - Fee Type,Lumpsum - Amount,Lumpsum - Branch,Lumpsum - Lumpsum Date,Lumpsum - Lumpsum Start Date,Lumpsum - Lumpsum End Date,Lumpsum - Pay Date,Lumpsum - Cancel,Lumpsum - Lumpsum Item Number,Lumpsum - Lumpsum Item Description,Lumpsum - Quantity,Lumpsum - Lumpsum Billing Frequency,Lumpsum - Warehouse Split,Lumpsum - Recurring Flag,Calendar name,Billing Frequency,Auto Schedule Payments,Lumpsum Payment Method,AR Vendor Name,Finance Contact,Qualifier - Type,Qualifier - Value,Qualifier - Exclude,Deal Date - Type,Deal - Start Date,Deal - End Date,Allowance - Item Allowance
,,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) New Business,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00110972,00110972,,,1/28/2026,2/28/2026,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,35,008,2/16/2026,,,2/16/2026,,0016699,"SOUR CREAM, CREMA MEXICANA 5LB (0016699)",35,,,,Calendar Year,Daily,Y,AR Invoice,22372,rick_stepien@shamrockfoods.com;kristen_martinson@shamrockfoods.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,26,008,2/16/2026,,,2/16/2026,,3512941,"SPOON, PLS SERVING 10"" CATERING BLK (3512941)",52,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,17.25,008,2/16/2026,,,2/16/2026,,3512941,"SPOON, PLS SERVING 10"" CATERING BLK (3512941)",23,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Jensen Foods Holiday Promotion (11/9/25-12/13/25) Existing Business,Jensen Foods Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00111061,00111061,,,1/28/2026,2/28/2026,Jensen Foods Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,40.1,008,2/16/2026,,,2/16/2026,,0039632,"TALLOW, BEEF SOLID 50LB CRTN (0039632)",401,,,,Calendar Year,Daily,Y,AR Invoice,23578,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Jensen Foods Holiday Promotion (11/9/25-12/13/25) New Business,Jensen Foods Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00111061,00111061,,,1/28/2026,2/28/2026,Jensen Foods Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,45,008,2/16/2026,,,2/16/2026,,0039632,"TALLOW, BEEF SOLID 50LB CRTN (0039632)",90,,,,Calendar Year,Daily,Y,AR Invoice,23578,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,DEL REAL Holiday Promotion (11/9/25-12/13/25) Existing Business,DEL REAL Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00194308,00194308,,,1/28/2026,2/28/2026,DEL REAL Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,43.5,008,2/16/2026,,,2/16/2026,,3050131,"TAMALE, BEEF 5 OZ (3050131)",29,,,,Calendar Year,Daily,Y,AP Debit Memo,,ardept@delrealfoods.com,,,,,,,
,,DEL REAL Holiday Promotion (11/9/25-12/13/25) New Business,DEL REAL Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00194308,00194308,,,1/28/2026,2/28/2026,DEL REAL Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,30,008,2/16/2026,,,2/16/2026,,3050131,"TAMALE, BEEF 5 OZ (3050131)",10,,,,Calendar Year,Daily,Y,AP Debit Memo,,ardept@delrealfoods.com,,,,,,,
,,DEL REAL Holiday Promotion (11/9/25-12/13/25) Existing Business,DEL REAL Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00194308,00194308,,,1/28/2026,2/28/2026,DEL REAL Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,12,008,2/16/2026,,,2/16/2026,,3505021,"TAMALE, CHICK GRN SCE (3505021)",8,,,,Calendar Year,Daily,Y,AP Debit Memo,,ardept@delrealfoods.com,,,,,,,
,,DEL REAL Holiday Promotion (11/9/25-12/13/25) New Business,DEL REAL Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00194308,00194308,,,1/28/2026,2/28/2026,DEL REAL Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,213,008,2/16/2026,,,2/16/2026,,3505021,"TAMALE, CHICK GRN SCE (3505021)",71,,,,Calendar Year,Daily,Y,AP Debit Memo,,ardept@delrealfoods.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,17,008,2/16/2026,,,2/16/2026,,3512961,"TONG, SERVING 10"" PLS BLK (3512961)",34,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,9,008,2/16/2026,,,2/16/2026,,3512961,"TONG, SERVING 10"" PLS BLK (3512961)",12,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,6.5,008,2/16/2026,,,2/16/2026,,3518381,"TONGS, 6.5"" SERVING SM BLK (3518381)",13,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,6,008,2/16/2026,,,2/16/2026,,3518381,"TONGS, 6.5"" SERVING SM BLK (3518381)",8,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,5.5,008,2/16/2026,,,2/16/2026,,3518441,"TRAY, 12"" RND PLATTER PLEASERS BLK (3518441)",11,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,12,008,2/16/2026,,,2/16/2026,,3518441,"TRAY, 12"" RND PLATTER PLEASERS BLK (3518441)",8,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,10,008,2/16/2026,,,2/16/2026,,3512891,"TRAY, 16"" PLATTER PLEASERS BLACK (3512891)",20,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,15,008,2/16/2026,,,2/16/2026,,3512891,"TRAY, 16"" PLATTER PLEASERS BLACK (3512891)",10,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,3.5,008,2/16/2026,,,2/16/2026,,3512901,"TRAY, 18"" RND PLATTER PLEASERS BLK (3512901)",7,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,15,008,2/16/2026,,,2/16/2026,,3512901,"TRAY, 18"" RND PLATTER PLEASERS BLK (3512901)",10,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Markon Holiday Promotion (11/9/25-12/13/25) New Business,Markon Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00191869,00191869,,,1/28/2026,2/28/2026,Markon Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,2,009,2/16/2026,,,2/16/2026,,0048181,"BRUSSELS SPROUT, BITE (0048181)",2,,,,Calendar Year,Daily,Y,AR Invoice,72561,chris_casson@shamrockfoods.com;becca_magaw@shamrockfoods.com,,,,,,,
,,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) Existing Business,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00110972,00110972,,,1/28/2026,2/28/2026,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,151.25,009,2/16/2026,,,2/16/2026,,4783481,"BUTTERMILK, 1% LF (4783481)",605,,,,Calendar Year,Daily,Y,AR Invoice,22372,rick_stepien@shamrockfoods.com;kristen_martinson@shamrockfoods.com,,,,,,,
,,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) New Business,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00110972,00110972,,,1/28/2026,2/28/2026,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,38,009,2/16/2026,,,2/16/2026,,4783481,"BUTTERMILK, 1% LF (4783481)",38,,,,Calendar Year,Daily,Y,AR Invoice,22372,rick_stepien@shamrockfoods.com;kristen_martinson@shamrockfoods.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,36,009,2/16/2026,,,2/16/2026,,2885911,"CAKE, CARROT MOMMAS OLDF 10"" 16 SLI (2885911)",24,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,6,009,2/16/2026,,,2/16/2026,,2885911,"CAKE, CARROT MOMMAS OLDF 10"" 16 SLI (2885911)",2,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,7.5,009,2/16/2026,,,2/16/2026,,3093071,"CAKE, CHOC LAVA DIVINE GF (3093071)",5,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,3,009,2/16/2026,,,2/16/2026,,3093071,"CAKE, CHOC LAVA DIVINE GF (3093071)",1,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,24,009,2/16/2026,,,2/16/2026,,2522971,"CAKE, CHOCOLATE LAVA 4.16Z (2522971)",16,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,19.5,009,2/16/2026,,,2/16/2026,,3575161,"CAKE, LMN ITAL 2 LAYER 10"" 12 SLI (3575161)",13,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,6,009,2/16/2026,,,2/16/2026,,3575161,"CAKE, LMN ITAL 2 LAYER 10"" 12 SLI (3575161)",2,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,10.5,009,2/16/2026,,,2/16/2026,,2885981,"CAKE, MOUSSE CHOC PEANUT BTR (2885981)",7,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,3,009,2/16/2026,,,2/16/2026,,2885981,"CAKE, MOUSSE CHOC PEANUT BTR (2885981)",1,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,1.5,009,2/16/2026,,,2/16/2026,,2886021,"CAKE, REGAL RED VELVET ICED CRM CHSE (2886021)",1,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,6,009,2/16/2026,,,2/16/2026,,2886021,"CAKE, REGAL RED VELVET ICED CRM CHSE (2886021)",2,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,7.5,009,2/16/2026,,,2/16/2026,,2384731,"CAKE, SINFUL SEVEN 10"" 16 CUT (2384731)",5,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,10.5,009,2/16/2026,,,2/16/2026,,2885951,"CAKE, TORTE CHOC OVERLOAD 10"" 16SLI (2885951)",7,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,6,009,2/16/2026,,,2/16/2026,,2885951,"CAKE, TORTE CHOC OVERLOAD 10"" 16SLI (2885951)",2,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,3,009,2/16/2026,,,2/16/2026,,3092981,"CHEESECAKE, NY STYLE 10"" 14 SLI MADISON (3092981)",2,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,6,009,2/16/2026,,,2/16/2026,,3092981,"CHEESECAKE, NY STYLE 10"" 14 SLI MADISON (3092981)",2,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,28.5,009,2/16/2026,,,2/16/2026,,2886031,"CHEESECAKE, NY STYLE 10"" 16 SLI BROADWAY (2886031)",19,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,12,009,2/16/2026,,,2/16/2026,,2886031,"CHEESECAKE, NY STYLE 10"" 16 SLI BROADWAY (2886031)",4,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,12,009,2/16/2026,,,2/16/2026,,4939151,"CHEESECAKE, SSRV ASSORT PETITE BITE FZN (4939151)",8,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,45,009,2/16/2026,,,2/16/2026,,4939151,"CHEESECAKE, SSRV ASSORT PETITE BITE FZN (4939151)",15,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,145,009,2/16/2026,,,2/16/2026,,4811821,"COFFEE, ESPRESSO WB 5LB (4811821)",29,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,150,009,2/16/2026,,,2/16/2026,,4811821,"COFFEE, ESPRESSO WB 5LB (4811821)",15,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,20,009,2/16/2026,,,2/16/2026,,0007444,"COFFEE, ORGANIC SERENADE 5LB (0007444)",4,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,10,009,2/16/2026,,,2/16/2026,,0007444,"COFFEE, ORGANIC SERENADE 5LB (0007444)",1,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
